bdbid,energy_type,fiscal_year,end_date,usage,prepost,OAT,estimated
227,Fuel,2016,2016-04-30,175.43225839294493,1,52.4666666667,1
227,Fuel,2016,2016-05-31,36.9117399563358,1,62.870967741899996,1
227,Fuel,2016,2016-06-30,5.959825852795039,1,73.1333333333,1
227,Fuel,2017,2016-07-31,1.3096095577686633,1,80.25806451609999,0
227,Fuel,2017,2016-08-31,0.0,1,80.8064516129,0
227,Fuel,2017,2016-09-30,0.0,1,73.5666666667,0
227,Fuel,2017,2016-10-31,0.0,1,60.709677419399995,0
227,Fuel,2017,2016-11-30,0.0,1,52.1333333333,0
227,Fuel,2017,2016-12-31,0.0,1,40.4516129032,0
227,Fuel,2017,2017-01-31,0.0,1,39.5483870968,0
227,Fuel,2017,2017-02-28,284.12164096951346,1,42.2142857143,1
227,Fuel,2017,2017-03-31,169.8900235873408,1,40.6451612903,1
227,Fuel,2017,2017-04-30,73.8779899587021,1,57.2121212121,1
227,Fuel,2017,2017-05-31,43.81033979852129,1,62.709677419399995,1
227,Fuel,2017,2017-06-30,7.56597158147259,1,73.4,1
228,Elec,2016,2015-07-31,0.028532523975127354,1,78.6129032258,0
228,Elec,2016,2015-08-31,0.030658740327887134,1,78.7741935484,0
228,Elec,2016,2015-09-30,0.026410451075785286,1,73.7333333333,0
228,Elec,2016,2015-10-31,0.021652222631138706,1,58.064516129,0
228,Elec,2016,2015-11-30,0.02212123080632496,1,53.4666666667,1
228,Elec,2016,2015-12-31,0.019246399840722694,1,50.35483870970001,1
228,Elec,2016,2016-01-31,0.01935473874976135,1,35.6451612903,1
228,Elec,2016,2016-02-29,0.02068420563354095,1,38.241379310300005,1
228,Elec,2016,2016-03-31,0.0246273658056223,1,48.35483870970001,1
228,Elec,2016,2016-04-30,0.024785785038130725,1,52.4666666667,0
228,Elec,2016,2016-05-31,0.026382567142300067,1,62.870967741899996,1
228,Elec,2016,2016-06-30,0.03290647950171981,1,73.1333333333,1
228,Elec,2017,2016-07-31,0.03360597228097739,1,80.25806451609999,0
228,Elec,2017,2016-08-31,0.03555229525374117,1,80.8064516129,1
228,Elec,2017,2016-09-30,0.029295652443370207,1,73.5666666667,1
228,Elec,2017,2016-10-31,0.0280185827301434,1,60.709677419399995,0
228,Elec,2017,2016-11-30,0.021296914482746954,1,52.1333333333,0
228,Elec,2017,2016-12-31,0.02571768720742982,1,40.4516129032,1
228,Elec,2017,2017-01-31,0.022832844029544146,1,39.5483870968,1
